date,species,count,70.2,cow bay,mainstem fence,skutz,vimy pool
2019-11-25,co,3,,,,,
2019-12-05,co,2,,,,,
2019-12-08,cn,11,,,,,
2019-12-08,co,2,,,,,
2019-12-27,cn,1,,,,,
2020-01-09,cn,13,,,,,
2020-01-28,cn,13,,,,,
2020-02-09,cn,2,,,,,
2020-02-16,cn,22,,,,,
2020-03-09,cn,6,,,,,
2020-04-06,cn,3,,,,,
2020-04-29,co,72,,,,,
2020-05-01,co,88,,,,,
2020-05-04,co,166,,,,,
2020-05-06,co,68,,,,,
2020-05-08,co,152,,,,,
2020-05-11,co,265,,,,,
2020-05-13,co,279,,,,,
2020-05-15,co,148,,,,,
2020-05-17,co,183,,,,,
2020-05-18,cn,1,,,,,
2020-05-20,co,66,,,,,
2020-05-22,co,109,,,,,
2020-05-26,co,28,,,,,
2020-05-29,co,11,,,,,
2020-05-31,cn,3,,,,,
2020-06-01,co,6,,,,,
2020-06-04,cm,1,,,,,
2020-06-04,cn,633,,,,,
2020-06-04,co,4,,,,,
2020-06-10,cn,754,,,,,
2020-06-10,co,2,,,,,
2020-06-12,cm,1,,,,,
2020-06-12,cn,558,,,,,
2020-06-12,co,3,,,,,
2020-06-15,cn,84,,,,,
2020-06-17,cn,309,,,,,
2020-06-17,co,1,,,,,
2020-06-19,cn,315,,,,,
2020-06-19,co,4,,,,,
2020-06-21,cn,1,,,,,
2020-06-22,cn,171,,,,,
2020-06-22,co,1,,,,,
2020-06-24,cn,225,,,,,
2020-06-24,co,9,,,,,
2020-07-04,cn,24,,,,,
2020-07-25,cn,2,,,,,
2020-07-26,cn,3,,,,,
2020-09-01,cn,2,,,,,
2020-09-02,cn,2,,,,,
2020-09-03,cn,1,,,,,
2020-09-04,cn,1,,,,,
2020-09-05,cn,4,,,,,
2020-09-08,cn,2,,,,,
2020-09-09,cn,2,,,,,
2020-09-10,cn,2,,,,,
2020-09-12,cn,1,,,,,
2020-09-14,cn,2,,,,,
2020-09-15,cn,2,,,,,
2020-09-16,cn,2,,,,,
2020-09-17,cn,3,,,,,
2020-09-18,cn,2,,,,,
2020-09-19,cn,2,,,,,
2020-09-20,cn,1,,,,,
2020-09-21,cn,2,,,,,
2020-09-22,cn,1,,,,,
2020-09-27,cn,1,,,,,
2020-10-17,co,2,,,,,
2020-10-18,co,1,,,,,
2020-10-24,co,1,,,,,
2020-10-27,co,2,,,,,
2020-10-29,co,2,,,,,
2020-10-31,co,3,,,,,
2020-11-01,co,1,,,,,
2020-11-05,co,2,,,,,
2020-11-06,co,1,,,,,
2020-11-07,co,5,,,,,
2020-11-11,co,3,,,,,
2020-11-12,co,2,,,,,
2020-11-15,co,3,,,,,
2020-11-20,co,4,,,,,
2020-11-27,co,4,,,,,
2020-11-28,co,2,,,,,
2020-11-29,co,1,,,,,
2020-12-03,co,1,,,,,
2021-04-29,ck,2,True,False,False,False,False
2021-04-29,co,59,True,False,False,False,False
2021-04-29,co,8,False,False,True,False,False
2021-04-30,co,16,True,False,False,False,False
2021-04-30,co,6,False,False,True,False,False
2021-05-03,co,10,True,False,False,False,False
2021-05-03,ck,1,False,False,True,False,False
2021-05-03,co,26,False,False,True,False,False
2021-05-05,ck,1,True,False,False,False,False
2021-05-05,co,36,True,False,False,False,False
2021-05-05,ck,5,False,False,True,False,False
2021-05-05,co,29,False,False,True,False,False
2021-05-05,co,4,False,False,False,True,False
2021-05-07,co,13,True,False,False,False,False
2021-05-07,co,333,False,False,True,False,False
2021-05-08,ck,288,False,False,True,False,False
2021-05-08,co,470,False,False,True,False,False
2021-05-09,ck,1,False,False,True,False,False
2021-05-10,co,33,True,False,False,False,False
2021-05-10,ck,249,False,False,True,False,False
2021-05-10,co,569,False,False,True,False,False
2021-05-11,ck,307,False,False,True,False,False
2021-05-11,co,391,False,False,True,False,False
2021-05-12,co,84,True,False,False,False,False
2021-05-12,ck,90,False,False,True,False,False
2021-05-12,co,163,False,False,True,False,False
2021-05-13,ck,337,False,False,True,False,False
2021-05-13,co,770,False,False,True,False,False
2021-05-14,ck,24,True,False,False,False,False
2021-05-14,co,94,True,False,False,False,False
2021-05-14,ck,376,False,False,True,False,False
2021-05-14,co,427,False,False,True,False,False
2021-05-14,ck,8,False,False,False,True,False
2021-05-14,co,28,False,False,False,True,False
2021-05-15,ck,121,False,False,True,False,False
2021-05-15,co,115,False,False,True,False,False
2021-05-17,ck,25,True,False,False,False,False
2021-05-17,co,49,True,False,False,False,False
2021-05-17,ck,152,False,False,True,False,False
2021-05-17,co,325,False,False,True,False,False
2021-05-17,ck,22,False,False,False,True,False
2021-05-17,co,40,False,False,False,True,False
2021-05-18,ck,25,True,False,False,False,False
2021-05-18,co,41,True,False,False,False,False
2021-05-18,ck,710,False,False,True,False,False
2021-05-18,co,339,False,False,True,False,False
2021-05-19,ck,425,False,False,True,False,False
2021-05-19,co,257,False,False,True,False,False
2021-05-19,ck,438,False,False,False,False,True
2021-05-19,co,23,False,False,False,False,True
2021-05-20,ck,744,False,False,True,False,False
2021-05-20,co,215,False,False,True,False,False
2021-05-20,ck,255,False,False,False,False,True
2021-05-20,co,33,False,False,False,False,True
2021-05-27,ck,188,False,False,True,False,False
2021-05-28,ck,200,False,False,True,False,False
2021-06-01,ck,755,False,True,False,False,False
2021-06-01,co,2,False,True,False,False,False
2021-06-03,ck,915,False,True,False,False,False
2021-06-08,ck,420,False,True,False,False,False
2021-06-10,ck,313,False,True,False,False,False
2021-06-15,ck,302,False,True,False,False,False
2021-06-17,ck,216,False,True,False,False,False
2022-05-03,ck,1,False,False,True,False,False
2022-05-03,co,99,False,False,True,False,False
2022-05-04,co,60,False,False,True,False,False
2022-05-05,ck,6,False,False,True,False,False
2022-05-05,co,99,False,False,True,False,False
2022-05-06,ck,22,False,False,True,False,False
2022-05-06,co,163,False,False,True,False,False
2022-05-07,ck,16,False,False,True,False,False
2022-05-07,co,192,False,False,True,False,False
2022-05-09,ck,37,False,False,True,False,False
2022-05-09,co,298,False,False,True,False,False
2022-05-11,ck,46,False,False,True,False,False
2022-05-11,co,334,False,False,True,False,False
2022-05-13,ck,47,False,False,True,False,False
2022-05-13,co,225,False,False,True,False,False
2022-05-25,ck,19,False,False,True,False,False
2022-05-25,co,26,False,False,True,False,False
2022-05-27,ck,73,False,False,True,False,False
2022-05-27,co,19,False,False,True,False,False
2022-05-30,ck,182,False,False,True,False,False
2022-05-30,co,54,False,False,True,False,False
2022-05-31,ck,255,False,False,True,False,False
2022-05-31,co,98,False,False,True,False,False
2022-06-01,ck,308,False,False,True,False,False
2022-06-01,co,85,False,False,True,False,False
2022-06-02,ck,228,False,False,True,False,False
2022-06-02,co,74,False,False,True,False,False
2022-06-03,ck,236,False,False,True,False,False
2022-06-03,co,52,False,False,True,False,False
2022-06-04,ck,262,False,False,True,False,False
2022-06-04,co,56,False,False,True,False,False
2022-06-05,ck,466,False,False,True,False,False
2022-06-05,co,94,False,False,True,False,False
2022-06-06,ck,88,False,False,True,False,False
2022-06-06,co,25,False,False,True,False,False
2022-06-07,ck,409,False,False,True,False,False
2022-06-07,co,55,False,False,True,False,False
2022-06-08,ck,159,False,False,True,False,False
2022-06-08,co,41,False,False,True,False,False
2022-06-09,ck,400,False,False,True,False,False
2022-06-09,co,71,False,False,True,False,False
2022-06-10,ck,437,False,False,True,False,False
2022-06-10,co,33,False,False,True,False,False
2022-06-11,ck,258,False,False,True,False,False
2022-06-11,co,31,False,False,True,False,False
2022-06-13,ck,208,False,False,True,False,False
2022-06-13,co,35,False,False,True,False,False
2022-06-15,ck,188,False,False,True,False,False
2022-06-15,co,30,False,False,True,False,False
2022-06-17,ck,384,False,False,True,False,False
2022-06-17,co,20,False,False,True,False,False
2022-06-20,ck,400,False,False,True,False,False
2022-06-20,co,17,False,False,True,False,False
2022-06-22,ck,423,False,False,True,False,False
2022-06-22,co,22,False,False,True,False,False
2022-06-24,ck,452,False,False,True,False,False
2022-06-24,co,14,False,False,True,False,False
2023-05-03,co,20,False,False,True,False,False
2023-05-05,co,43,False,False,True,False,False
2023-05-08,co,104,False,False,True,False,False
2023-05-10,ck,2,False,False,True,False,False
2023-05-10,co,159,False,False,True,False,False
2023-05-12,ck,1,False,False,True,False,False
2023-05-12,co,196,False,False,True,False,False
2023-05-15,co,162,False,False,True,False,False
2023-05-17,co,45,False,False,True,False,False
2023-05-19,ck,2,False,False,True,False,False
2023-05-19,co,71,False,False,True,False,False
2023-05-23,co,34,False,False,True,False,False
2023-05-26,ck,195,False,False,True,False,False
2023-05-26,co,422,False,False,True,False,False
2023-05-30,ck,623,False,False,True,False,False
2023-05-30,co,353,False,False,True,False,False
2023-05-31,ck,496,False,False,True,False,False
2023-05-31,co,139,False,False,True,False,False
2023-06-01,ck,729,False,False,True,False,False
2023-06-01,co,65,False,False,True,False,False
2023-06-02,ck,474,False,False,True,False,False
2023-06-02,co,26,False,False,True,False,False
2023-06-04,ck,696,False,False,True,False,False
2023-06-04,co,66,False,False,True,False,False
2023-06-05,ck,529,False,False,True,False,False
2023-06-05,co,31,False,False,True,False,False
2023-06-06,ck,590,False,False,True,False,False
2023-06-06,co,27,False,False,True,False,False
2023-06-07,ck,604,False,False,True,False,False
2023-06-07,co,36,False,False,True,False,False
