tag_id_long,river_or_estuary,wild_or_hatchery,stock
989.001041745799,estuary,wild,
989.001041745885,estuary,wild,
989.001038888809,estuary,hatchery,
989.001038888772,estuary,hatchery,
989.001038888783,estuary,wild,
989.001038888784,estuary,hatchery,
989.001038888835,estuary,hatchery,
989.001038888798,estuary,hatchery,
989.001038888806,estuary,hatchery,
989.001038888820,estuary,hatchery,
989.001038888814,estuary,hatchery,
989.001038888774,estuary,hatchery,
989.001038888833,estuary,hatchery,
989.001038888777,estuary,hatchery,
989.001038888824,estuary,hatchery,
989.001041745861,estuary,wild,
989.001041745841,estuary,wild,
989.001041744869,estuary,wild,
989.001041744817,estuary,wild,
989.001041744860,estuary,wild,
989.001041745867,estuary,wild,
989.001041744887,estuary,wild,
989.001041745818,estuary,wild,
989.001041744866,estuary,wild,
989.001038888801,estuary,hatchery,
989.001038888841,estuary,hatchery,
989.001038888799,estuary,hatchery,
989.001038888810,estuary,hatchery,
989.001038888819,estuary,hatchery,
989.001038888800,estuary,hatchery,
989.001038888781,estuary,hatchery,
989.001038888792,estuary,wild,
989.001038888817,estuary,hatchery,
989.001038888746,estuary,hatchery,
989.001038888753,estuary,hatchery,
989.001038888823,estuary,hatchery,
989.001038888750,estuary,hatchery,
989.001038888775,estuary,hatchery,
989.001038888834,estuary,hatchery,
989.001038888832,estuary,hatchery,
989.001038888821,estuary,hatchery,
989.001038888795,estuary,hatchery,
989.001038888830,estuary,hatchery,
989.001038888785,estuary,wild,
989.001038888756,estuary,hatchery,
989.001038888779,estuary,hatchery,
989.001038888828,estuary,hatchery,
989.001038888760,estuary,hatchery,
989.001038888813,estuary,hatchery,
989.001038888789,estuary,hatchery,
989.001041744831,estuary,wild,
989.001041744806,estuary,wild,
989.001039718097,river,wild,
989.001041744858,estuary,wild,
989.001041744808,estuary,wild,
989.001041744804,estuary,wild,
989.001041745881,estuary,wild,
989.001041744862,estuary,wild,
989.001041744822,estuary,wild,
989.001041745862,estuary,wild,
989.001041745891,estuary,wild,
989.001039621840,estuary,wild,
989.001038887822,estuary,wild,
989.001038889169,estuary,wild,
989.001038888657,estuary,wild,
989.001038886372,estuary,wild,
989.001038886749,estuary,wild,
989.001038886617,estuary,wild,
989.001038889233,estuary,wild,
989.001038869334,river,wild,
989.001038888797,estuary,hatchery,
